"","X","POLY_ID","Species","Product","sum","Link","POLY_ID.1","Species.1","total","percentage","join"
"418",418,"475-10","AT","Small Sawlog",9392,"AT475-10","475-10","AT",9884,95.0222581950627,"475-10ATSmall Sawlog"
"419",419,"475-10","B","Large Sawlog",2271,"B475-10","475-10","B",73899,3.07311330329233,"475-10BLarge Sawlog"
"420",420,"475-10","B","Small Sawlog",35260,"B475-10","475-10","B",73899,47.7137714989377,"475-10BSmall Sawlog"
"421",421,"475-10","B","Stud",36368,"B475-10","475-10","B",73899,49.2131151977699,"475-10BStud"
"422",422,"475-10","C","Large Sawlog",11832,"C475-10","475-10","C",233008,5.07793723820641,"475-10CLarge Sawlog"
"423",423,"475-10","C","Small Sawlog",221176,"C475-10","475-10","C",233008,94.9220627617936,"475-10CSmall Sawlog"
"424",424,"475-10","DF","Large Sawlog",45456,"DF475-10","475-10","DF",427104,10.6428410878849,"475-10DFLarge Sawlog"
"425",425,"475-10","DF","Small Sawlog",212108,"DF475-10","475-10","DF",427104,49.6619090432307,"475-10DFSmall Sawlog"
"426",426,"475-10","DF","Stud",169540,"DF475-10","475-10","DF",427104,39.6952498688844,"475-10DFStud"
"427",427,"475-10","EP","Large Sawlog",6,"EP475-10","475-10","EP",2490,0.240963855421687,"475-10EPLarge Sawlog"
